RARE GOODS — LEGACY LOCATION TABLE
==================================

Rare Good                   | Origin System    | Origin Station            | Pad | Distance from Sol (ly)
Volkhab Bee Drones          | Volkhab          | Vernadsky Dock            | L   | 172.53                
Waters Of Shintara          | Shinrarta Dezhra | Jameson Memorial          | L   | 64.43                 
Wheemete Wheat Cakes        | Wheemete         | Eisinga Enterprise        | L   | 241.03                
Witchhaul Kobe Beef         | Witchhaul        | Hornby Terminal           | L   | 85.00                 
Wolf Fesh                   | Wolf 1301        | Saunders's Dive           | L   | 88.02                 
Wulpa Hyperbore Systems     | Wulpa            | Williams Gateway          | L   | 173.57                
Wuthielo Ku Froth           | Wuthielo Ku      | Tarter Dock               | L   | 202.32                
Xihe Biomorphic Companions  | Xihe             | Zhen Dock                 | L   | 52.91                 
Yaso Kondi Leaf             | Yaso Kondi       | Wheeler Market            | L   | 175.98                
Zeessze Ant Grub Glue       | Zeessze          | Nicollier Hanger          | —   | 24.64                 

LEGACY NOTE
===========
Origin systems/stations are the useful archival data.
Current allocation, price, supply and whether a rare is temporarily unavailable are BGS/server-dependent.
