ELITE DANGEROUS: LEGACY / CONSOLE
FLEET CARRIER VENDORS AND FLEET CARRIER ADMINISTRATION
=======================================================

DATA BASIS
==========

Fleet Carrier service flags:
EDDB stations snapshot dated 22 August 2022.

This is pre-November-2022 data and is therefore appropriate as a
Legacy / Console reference.

System names and Sol distances are physical galaxy data.
Distances are calculated from system galactic coordinates.

Fleet Carrier Vendor locations: 13
Fleet Carrier Administration systems: 392


FLEET CARRIER VENDORS
=====================

Used to PURCHASE a new Fleet Carrier.

Base Fleet Carrier price:
5,000,000,000 CR

System     | Station              |    Sol ly
-----------+----------------------+----------
Kruger 60  | Kepler Gateway       |     13.08
Skeggiko O | Kuo Terminal         |     57.42
Panoi      | Garan Hub            |     63.58
Alcor      | Macdonald Settlement |     81.71
Lan Tzak   | Jacobi Platform      |    111.98
Diso       | Shifnalport          |    112.20
Namnetes   | Jolliet Enterprise   |    112.91
CD-47 990  | Jackson Ring         |    125.18
Balante    | Laplace Ring         |    126.44
Agartha    | Enoch Port           |    148.32
Kakmbutan  | Macgregor Orbital    |    158.87
Ehlanda    | Clark Port           |    211.86
Colonia    | Jaques Station       | 22,000.45


FLEET CARRIER ADMINISTRATION SYSTEMS
====================================

Used to INSTALL, REMOVE and CONFIGURE services on a Fleet Carrier
you already own.

The Fleet Carrier itself must be present in an Administration system
when installing or removing carrier services.

All Fleet Carrier Vendor systems in this EDDB snapshot also provide
Fleet Carrier Administration.

System                    |    Sol ly
Zemetii                   |    164.34
40 Draconis               |    166.09
Yapep                     |    170.70
LTT 1873                  |    171.68
Brians                    |    173.05
Belgeth                   |    174.13
Menusha                   |    177.13
Napia                     |    177.38
Marrallang                |    178.97
Dumnites                  |    184.53
HIP 113948                |    185.13
Mula Wendes               |    186.45
Theta-1 Microscopii       |    186.49
HIP 117975                |    190.98
HR 1245                   |    200.21
HIP 14760                 |    205.79
Ehlanda                   |    211.86
HR 1075                   |    213.47
HIP 14973                 |    217.02
Coalsack Sector VU-O b6-6 |    518.28
Tir                       | 21,993.95
Deriso                    | 21,996.64
Ratraii                   | 21,997.11
Colonia                   | 22,000.45
Luchtaine                 | 22,013.54
Asura                     | 22,016.58


WHAT THE TWO TYPES DO
=====================

Fleet Carrier Vendor
--------------------
- Purchase a new Drake-Class Fleet Carrier.
- Base purchase price: 5,000,000,000 CR.
- Vendor systems also have Fleet Carrier Administration.


Fleet Carrier Administration
-----------------------------
Used for a Fleet Carrier you already own.

Used to:
- Install optional Fleet Carrier services.
- Remove optional Fleet Carrier services.
- Change service crews where applicable.
- Buy or remove Shipyard stock packages.
- Buy or remove Outfitting stock packages.

Suspending or reactivating an already-installed service does not
require returning to a Carrier Administration system.


LEGACY / CONSOLE WARNING
========================

The Administration list comes from the archived EDDB service flags
dated 22 August 2022.
