ELITE DANGEROUS LEGACY CONSOLE - MATERIAL TRADERS

Snapshot: EDDB stations, 22 August 2022
Legacy-compatible entries: 1,634
Raw: 677 | Manufactured: 539 | Encoded: 418
Distances are straight-line light-years from Sol.

+-------------+-----------------------------+--------------------------------+--------------+
| Sol distance | System                      | Station                        | Trader type  |
|       34.45 | Wolf 636                    | Nikolayev Dock                 | Manufactured |
|       34.49 | Byel Taca                   | Melroy Horizons                | Manufactured |
|       34.93 | Scori                       | Lonchakov Gateway              | Manufactured |
|       35.03 | LTT 1678                    | Vishweswarayya Station         | Manufactured |
|       35.10 | BD+02 305                   | Swainson Station               | Encoded      |
|       35.67 | Bolg                        | Moxon's Mojo                   | Encoded      |
|       35.98 | Sekhenses                   | Herzfeld Hub                   | Manufactured |
|       36.22 | LP 715-52                   | Melnick Ring                   | Encoded      |
|       36.24 | Segais                      | Bates Orbital                  | Encoded      |
|       36.25 | LP 205-44                   | Kaku Horizons                  | Raw          |
|       36.33 | Corbenic                    | Hertz City                     | Manufactured |
|       36.70 | Ross 85                     | Mohmand Station                | Encoded      |
|       37.47 | LHS 2037                    | Meikle Dock                    | Encoded      |
|       37.89 | GQ Virginis                 | Ray Enterprise                 | Encoded      |
|       38.39 | DS Leonis                   | Grandin Terminal               | Encoded      |
|       38.67 | FT Piscium                  | Feynman City                   | Raw          |
|       38.97 | G 173-53                    | McArthur Landing               | Raw          |
|       39.75 | LHS 2106                    | Gooch Vision                   | Encoded      |
|       40.10 | LFT 142                     | Rozhdestvensky Dock            | Manufactured |
|       40.25 | LHS 3295                    | Yang Hub                       | Encoded      |
|       40.26 | LP 336-4                    | Bolotov City                   | Manufactured |
|       40.72 | LFT 424                     | Coke Dock                      | Manufactured |
|       40.75 | Fionn                       | Currie Enterprise              | Encoded      |
|       40.79 | LHS 3577                    | Elgin Terminal                 | Encoded      |
|       40.82 | LHS 246                     | Gooch Terminal                 | Manufactured |
|       41.65 | Medb                        | Vela Dock                      | Manufactured |
|       41.84 | LP 462-19                   | Tarelkin Dock                  | Manufactured |
|       41.95 | Furbaide                    | Effinger Port                  | Manufactured |
|       42.36 | G 139-3                     | O'Connor Dock                  | Manufactured |
|       42.38 | LFT 174                     | Berezovoy Gateway              | Encoded      |
|       42.53 | Mikir                       | Payette Settlement             | Raw          |
|       42.90 | Eme                         | Pausch City                    | Manufactured |
|       42.92 | LHS 1197                    | Chretien Terminal              | Encoded      |
|       42.92 | LP 390-16                   | Readdy Orbital                 | Encoded      |
|       43.03 | LP 672-42                   | Piercy City                    | Manufactured |
|       43.50 | LP 255-11                   | Burbank Port                   | Manufactured |
|       44.44 | LHS 28                      | Flade Enterprise               | Encoded      |
|       44.76 | Iota Piscium                | Virts City                     | Encoded      |
|       44.89 | ZZ Piscium                  | Buffett Survey                 | Encoded      |
|       44.95 | Wolf 1373                   | Allen Refinery                 | Manufactured |
|       44.99 | LHS 350                     | al-Haytham Enterprise          | Raw          |
|       45.23 | Huokang                     | Steiner City                   | Encoded      |
|       45.31 | Abi                         | Grechko Dock                   | Raw          |
|       45.34 | San Tu                      | Chomsky Terminal               | Encoded      |
|       45.56 | 10 Tauri                    | Clairaut City                  | Manufactured |
|       45.81 | Fusang                      | Cleve Vision                   | Encoded      |
|       46.03 | Alrai                       | Bounds Hub                     | Encoded      |
|       46.55 | LFT 1103                    | Kirk Ring                      | Encoded      |
|       46.93 | Wolf 906                    | Herbert Dock                   | Encoded      |
|       47.58 | BD+41 1865                  | Cori City                      | Encoded      |
|       47.81 | Quapa                       | Grabe Dock                     | Manufactured |
|       48.26 | Jaburara                    | Reynolds Hub                   | Manufactured |
|       48.54 | G 141-52                    | Chilton Co-operative           | Raw          |
|       48.56 | G 190-28                    | Guidoni Dock                   | Encoded      |
|       48.70 | LHS 6028                    | Tryggvason Orbital             | Manufactured |
|       48.86 | Nanabozho                   | Lamarck Orbital                | Encoded      |
|       48.90 | Kunggi                      | Vesalius City                  | Encoded      |
|       50.36 | m Tauri                     | Garay City                     | Manufactured |
|       50.36 | LHS 20                      | Ohm City                       | Encoded      |
|       50.40 | LU Velorum                  | Miletus Station                | Encoded      |
|       50.52 | LHS 1212                    | Bramah Port                    | Encoded      |
|       50.58 | AZ Cancri                   | Fisher Station                 | Encoded      |
|       50.94 | LP 906-9                    | Hertz Orbital                  | Encoded      |
|       51.43 | Arth                        | Midgeley Dock                  | Encoded      |
|       52.28 | Marici                      | Gidzenko Dock                  | Manufactured |
|       52.32 | Ross 1008                   | Yamazaki Hub                   | Manufactured |
|       52.33 | Shapash                     | Frick Refinery                 | Manufactured |
|       52.50 | Meliae                      | Whitson Hub                    | Manufactured |
|       52.58 | LP 908-11                   | So-yeon City                   | Encoded      |
|       52.60 | LFT 625                     | Fox Enterprise                 | Encoded      |
|       53.11 | LHS 277                     | Rowley Port                    | Manufactured |
|       53.34 | Ross 720                    | Raleigh Orbital                | Manufactured |
|       53.45 | G 180-18                    | Hale Port                      | Raw          |
|       53.65 | Sekhemet                    | Nasmyth Station                | Manufactured |
|       53.79 | HN Bootis                   | Duckworth Orbital              | Manufactured |
|       53.98 | V886 Centauri               | Tanner City                    | Manufactured |
|       54.32 | LHS 317                     | Northrop Port                  | Manufactured |
|       54.33 | LHS 2764a                   | Low Orbital                    | Raw          |
|       54.35 | G 138-40                    | Leonov Dock                    | Manufactured |
|       54.36 | Balatu                      | Haise Dock                     | Raw          |
|       54.57 | Muth                        | Gutierrez Hub                  | Manufactured |
|       54.80 | Mitra                       | Volterra Horizons              | Manufactured |
|       54.84 | BD+75 58                    | Stephenson Station             | Encoded      |
|       55.20 | Saranyu                     | Gurney Enterprise              | Raw          |
|       55.27 | LP 620-3                    | Jensen Enterprise              | Manufactured |
|       55.28 | LP 340-547                  | Pauli Orbital                  | Manufactured |
|       55.28 | LHS 2430                    | Dana City                      | Manufactured |
|       55.30 | LP 291-34                   | Garratt City                   | Raw          |
|       55.44 | Neto                        | Ising Vision                   | Encoded      |
|       55.57 | LHS 446                     | Ryazanski Terminal             | Manufactured |
|       55.59 | LHS 191                     | Zamka Station                  | Manufactured |
|       55.79 | Nagnatae                    | Howard City                    | Manufactured |
|       56.22 | Varayah                     | Lind Terminal                  | Manufactured |
|       56.85 | Wailladyan                  | Bass Port                      | Encoded      |
|       57.19 | Kokojina                    | Ali Ring                       | Encoded      |
|       57.22 | LHS 3615                    | Wrangell Port                  | Manufactured |
|       57.50 | Kachian                     | Goddard Station                | Encoded      |
|       57.50 | LFT 820                     | Michelson Hub                  | Manufactured |
|       57.85 | Wu Kuku                     | Al Saud Terminal               | Encoded      |
|       58.16 | LHS 3923                    | Kadenyuk Station               | Manufactured |
|       58.23 | Kairos                      | Boodt Dock                     | Manufactured |
|       59.29 | Vertumnus                   | Rawn City                      | Manufactured |
|       59.32 | LP 834-42                   | Moisuc Dock                    | Manufactured |
|       59.51 | Bunuras                     | Noguchi Enterprise             | Manufactured |
|       59.54 | G 5-32                      | Kovalyonok Landing             | Manufactured |
|       59.68 | LHS 21                      | Quimper Ring                   | Encoded      |
|       60.31 | Delta Equulei               | Bisson Hub                     | Manufactured |
|       60.41 | LHS 1663                    | Frobisher City                 | Encoded      |
|       60.42 | LFT 133                     | Sullivan Dock                  | Raw          |
|       60.44 | San Qin Gu                  | Sinclair Colony                | Manufactured |
|       60.50 | Lamaku                      | Northrop City                  | Manufactured |
|       60.51 | LHS 2995                    | Schmitt Station                | Encoded      |
|       61.51 | LP 375-25                   | King Gateway                   | Raw          |
|       61.51 | Kala                        | Pauling City                   | Manufactured |
|       61.57 | LFT 42                      | Bennett Vision                 | Manufactured |
|       61.89 | LFT 926                     | Meredith City                  | Encoded      |
|       62.19 | Ross 733                    | Strekalov Gateway              | Raw          |
|       62.39 | Bhotega                     | Savitskaya Ring                | Manufactured |
|       62.62 | LP 121-41                   | Kennan Co-operative            | Manufactured |
|       62.72 | BD+27 1739                  | Dyomin Terminal                | Encoded      |
|       62.88 | LTT 16522                   | Bluford Dock                   | Manufactured |
|       62.88 | Ditia                       | Arkwright City                 | Encoded      |
|       63.10 | LHS 184                     | Tarski Port                    | Manufactured |
|       63.10 | Ross 878                    | Jakes Enterprise               | Encoded      |
|       63.17 | Perkunas                    | Murdoch City                   | Encoded      |
|       63.46 | Ngolibardu                  | Vernadsky Port                 | Manufactured |
|       63.58 | Panoi                       | Garan Hub                      | Manufactured |
|       63.64 | LHS 2094                    | Patterson Vision               | Manufactured |
|       63.76 | 45 c Bootis                 | Ride Hub                       | Encoded      |
|       63.84 | 16 c Ursae Majoris          | Daimler Station                | Encoded      |
|       63.93 | Chaac                       | Lem Dock                       | Manufactured |
|       63.96 | Bragurom Du                 | Pellegrino Station             | Encoded      |
|       64.13 | Aryak                       | Garneau Port                   | Manufactured |
|       64.19 | Wolf 1409                   | Zamka Terminal                 | Manufactured |
|       64.20 | Liu Baja                    | Ray Dock                       | Raw          |
|       64.99 | Belarsuk                    | Kurland Hub                    | Encoded      |
|       65.22 | LHS 2771                    | Sarafanov Vision               | Encoded      |
|       65.22 | LHS 3384                    | Michelson Gateway              | Raw          |
|       65.31 | Skollung                    | Melvin Hub                     | Encoded      |
|       65.36 | Zosia                       | Sharp Enterprise               | Encoded      |
|       65.90 | Ross 478                    | Carson Hub                     | Manufactured |
|       65.96 | LHS 2948                    | Higginbotham Port              | Manufactured |
|       66.01 | LHS 2651                    | Kennan Dock                    | Encoded      |
|       66.26 | LTT 2396                    | Galton Vision                  | Manufactured |
|       66.29 | Neche                       | Descartes Station              | Encoded      |
|       66.35 | Kharinda                    | Chadwick Orbital               | Raw          |
|       66.42 | Mazahuanses                 | Messerschmid Orbital           | Encoded      |
|       66.74 | BD+03 2279                  | Smith Hub                      | Manufactured |
|       67.40 | V2213 Ophiuchii             | de Andrade Dock                | Manufactured |
|       67.54 | LHS 529                     | Stiegler Dock                  | Raw          |
|       67.76 | Julanggarri                 | Willis City                    | Manufactured |
|       67.94 | G 139-50                    | Filipchenko City               | Encoded      |
|       67.97 | LFT 300                     | Wedge Hangar                   | Manufactured |
|       68.06 | Ye'kuape                    | Bobko Hub                      | Manufactured |
|       68.08 | 9 Ceti                      | Fanning Vision                 | Encoded      |
|       68.18 | Wolf 324                    | Weber Port                     | Manufactured |
|       68.33 | Ross 835                    | Dobrovolskiy City              | Encoded      |
|       68.33 | Pacana                      | Savitskaya Terminal            | Manufactured |
|       68.60 | Rhea                        | Ito Orbital                    | Encoded      |
|       68.99 | Fong Wang                   | Schachner Dock                 | Manufactured |
|       69.09 | LHS 2494                    | Ivanishin City                 | Manufactured |
|       69.15 | Ho Parerme                  | Finney City                    | Manufactured |
|       69.68 | 40 Leonis                   | Goeschke Horizons              | Manufactured |
|       70.20 | Gladutjin                   | Chadwick Port                  | Encoded      |
|       70.21 | Anu                         | Lichtenberg Terminal           | Manufactured |
|       70.61 | Kremainn                    | Wohler Terminal                | Manufactured |
|       70.90 | LFT 78                      | Coye Orbital                   | Manufactured |
|       70.91 | Salibal                     | Alpers City                    | Manufactured |
|       71.03 | Arigens                     | Ordway Ring                    | Manufactured |
|       71.37 | Apala                       | Wilson City                    | Encoded      |
|       71.39 | Luan Yun Di                 | Gaiman Dock                    | Manufactured |
|       71.65 | LTT 9795                    | Smith Port                     | Manufactured |
|       71.82 | LP 460-60                   | Julian Enterprise              | Manufactured |
|       71.98 | Capukanga                   | Melnick Station                | Raw          |
|       72.18 | LHS 1228                    | Cooper City                    | Manufactured |
|       72.19 | NLTT 34715                  | McAllaster Terminal            | Raw          |
|       72.20 | Timbalderis                 | Levi-Montalcini Gateway        | Raw          |
|       72.32 | Berzitibi                   | Whitworth Gateway              | Raw          |
|       72.48 | Vetta                       | Bobko Terminal                 | Manufactured |
|       72.49 | GD 1192                     | Melvin Hub                     | Raw          |
|       72.50 | LP 355-65                   | Barba Ring                     | Raw          |
|       72.51 | LP 580-33                   | Shkaplerov Ring                | Encoded      |
|       72.57 | Sak Nicopa                  | Pauli Settlement               | Manufactured |
|       72.63 | NLTT 44958                  | Anderson Orbital               | Manufactured |
|       72.68 | HK Aquarii                  | Leestma Enterprise             | Manufactured |
|       72.97 | BD+40 2903                  | Hahn Dock                      | Encoded      |
|       73.38 | CD-46 14401                 | Klein Enterprise               | Encoded      |
|       73.47 | BD+28 4660                  | Somerset Enterprise            | Manufactured |
|       74.09 | LHS 2931                    | Lee Station                    | Encoded      |
|       74.11 | LP 167-71                   | Ziemianski Dock                | Manufactured |
|       74.13 | StHA 181                    | Andreas Hub                    | Manufactured |
|       74.44 | Tavgi                       | Gordon Enterprise              | Encoded      |
|       74.51 | Maljenni                    | Bowersox Enterprise            | Encoded      |
|       74.59 | LTT 6563                    | Leeuwenhoek Hub                | Encoded      |
|       74.62 | Monoto                      | Reed Dock                      | Raw          |
|       75.09 | LTT 1349                    | Lundwall City                  | Encoded      |
|       75.15 | HR 6828                     | Celsius Hub                    | Encoded      |
|       75.53 | Sungai                      | Willis Station                 | Manufactured |
|       75.82 | LP 685-43                   | Lie Ring                       | Encoded      |
|       75.83 | G 166-21                    | Lagrange Dock                  | Manufactured |
|       75.85 | V749 Herculis               | Pauling Gateway                | Encoded      |
|       75.86 | LP 60-205                   | Kneale Ring                    | Encoded      |
|       75.87 | LTT 17156                   | Kimberlin Orbital              | Encoded      |
|       76.06 | StKM 1-616                  | Davy Gateway                   | Raw          |
|       76.13 | Frendan                     | Adams Dock                     | Manufactured |
|       76.14 | Tauernonese                 | Wakata Port                    | Raw          |
|       76.57 | Heveri                      | Wiberg Hub                     | Manufactured |
|       76.97 | Inktasa                     | Oleskiw Station                | Manufactured |
|       77.04 | WW Piscis Austrini          | Ivins Vision                   | Encoded      |
|       77.09 | LTT 9156                    | Korolev Hub                    | Encoded      |
|       77.17 | Yorua                       | Blackwell Hub                  | Manufactured |
|       77.26 | Winiama                     | Bowersox Port                  | Raw          |
|       77.64 | Ross 112                    | Egan Orbital                   | Encoded      |
|       77.64 | LTT 12360                   | Benyovszky Terminal            | Encoded      |
|       77.65 | LTT 14019                   | Ballard Gateway                | Encoded      |
|       77.67 | Kappa Phoenicis             | Filipchenko Hub                | Raw          |
|       77.68 | Mabe                        | Cummings Port                  | Encoded      |
|       77.69 | NLTT 16389                  | Wrangell Dock                  | Manufactured |
|       77.75 | Llyr                        | Baraniecki Vision              | Encoded      |
|       77.85 | Amarak                      | Vela Port                      | Encoded      |
|       78.07 | Nandh                       | Nemere Terminal                | Manufactured |
|       78.13 | CPD-51 3323                 | Tuan Dock                      | Raw          |
|       78.20 | Cama Zotz                   | Stanier Gateway                | Encoded      |
|       78.41 | Ao Qin                      | Brunner Horizons               | Encoded      |
|       78.41 | Hoder                       | Jacquard Orbital               | Raw          |
|       78.57 | Huichi                      | Collins Station                | Manufactured |
|       78.59 | Yakabugai                   | Serebrov Station               | Manufactured |
|       78.69 | Esumindii                   | Nourse City                    | Encoded      |
|       78.72 | FT Ceti                     | Greenland City                 | Manufactured |
|       78.92 | Gliese 563.1                | Matteucci Ring                 | Manufactured |
|       78.97 | CPD-70 2439                 | Weyn Dock                      | Manufactured |
|       79.23 | Namte                       | Johnson Orbital                | Manufactured |
|       79.42 | Ngalkin                     | Frechet Station                | Encoded      |
|       79.55 | LHS 2637                    | Perez Ring                     | Encoded      |
|       79.56 | Akheilos                    | Smith City                     | Manufactured |
|       79.58 | BD+55 570                   | Ray Orbital                    | Manufactured |
|       79.58 | BZ Ceti                     | Coleman Ring                   | Manufactured |
|       79.83 | NLTT 11599                  | Babakin Terminal               | Encoded      |
|       79.88 | Docleachi                   | al-Haytham Station             | Manufactured |
|       79.96 | MCC 858                     | Rennie City                    | Manufactured |
|       80.09 | Catuntinigi                 | Hui Enterprise                 | Encoded      |
|       80.39 | Tzu I                       | Howard Enterprise              | Manufactured |
|       80.67 | Bhumatz                     | Cabrera Terminal               | Raw          |
|       80.69 | BD+87 118                   | Patrick Ring                   | Raw          |
|       80.82 | HDS 1879                    | Shaikh Dock                    | Manufactured |
|       80.86 | Kayimali                    | Schweickart Enterprise         | Raw          |
|       80.87 | BD+23 2640                  | Wagner Dock                    | Manufactured |
|       80.90 | LO Pegasi                   | Garcia Station                 | Encoded      |
|       80.92 | Mehet                       | Schwann Dock                   | Encoded      |
|       80.96 | Gorgon                      | Ray Hub                        | Manufactured |
|       80.98 | BD+07 2008                  | Sarrantonio Ring               | Manufactured |
|       81.07 | Hun Chonses                 | Al-Khalili Hub                 | Manufactured |
|       81.48 | Zandu                       | Vaucanson Hub                  | Encoded      |
|       81.51 | LTT 5855                    | Knipling Enterprise            | Raw          |
|       81.56 | LP 128-32                   | Bulychev Hub                   | Encoded      |
|       81.56 | Duwaredari                  | Scott Dock                     | Manufactured |
|       81.56 | LHS 4046                    | Malchiodi Port                 | Encoded      |
|       81.58 | LHS 6027                    | Joliot-Curie Station           | Raw          |
|       81.59 | Lalande 30699               | Filipchenko Gateway            | Encoded      |
|       81.98 | Kwattrages                  | Roentgen Port                  | Manufactured |
|       82.14 | LHS 2875                    | Kerwin Horizons                | Encoded      |
|       82.26 | Macoceleuta                 | Watson Hub                     | Raw          |
|       82.31 | LHS 3666                    | Meyrink Orbital                | Encoded      |
|       82.49 | MCC 686                     | Smith City                     | Manufactured |
|       82.50 | Telmarch                    | Beliaev Dock                   | Manufactured |
|       82.71 | LTT 4376                    | Goulart Vision                 | Manufactured |
|       83.04 | 68 Eridani                  | Voss Dock                      | Encoded      |
|       83.14 | LTT 15899                   | Kekule Orbital                 | Raw          |
|       83.34 | Fular                       | Kotov Orbital                  | Encoded      |
|       83.39 | GD 175                      | Wegener Terminal               | Encoded      |
|       83.41 | Hooriayan                   | Davis Port                     | Manufactured |
|       83.48 | Kistha                      | Elion City                     | Manufactured |
|       83.61 | Gl 606.1 B                  | Harvey Ring                    | Manufactured |
|       83.78 | BD+02 4718                  | Abernathy Enterprise           | Encoded      |
|       83.82 | Corn Pin                    | Boodt Terminal                 | Manufactured |
|       83.91 | Cromovit                    | Watts Installation             | Manufactured |
|       84.12 | Du Shenge                   | Moore Orbital                  | Manufactured |
|       84.16 | LHS 3067                    | Glenn Station                  | Raw          |
|       84.28 | Jadlillke                   | Markham Orbital                | Encoded      |
|       84.52 | Hualarna                    | Foda Plant                     | Manufactured |
|       84.54 | Peneng Wa                   | Szameit Ring                   | Encoded      |
|       84.67 | CPD-59 314                  | Helin Hub                      | Encoded      |
|       84.72 | LTT 15574                   | Haxel Port                     | Raw          |
|       84.79 | Nagarlaw                    | Crown Dock                     | Manufactured |
|       84.88 | Ghimr                       | Kingsmill Hub                  | Manufactured |
|       84.90 | Lidpar                      | Carlisle Station               | Encoded      |
|       84.93 | LTT 14850                   | Franklin Vision                | Encoded      |
|       85.19 | Wolf 406                    | Hamilton Gateway               | Encoded      |
|       85.21 | Guragwe                     | Onizuka Ring                   | Manufactured |
|       85.30 | Ross 754                    | Dana Gateway                   | Raw          |
|       85.39 | Ba Po                       | Mullane Mines                  | Raw          |
|       85.57 | Mundii                      | Elder Hub                      | Raw          |
|       85.64 | HR 7793                     | Benyovszky Ring                | Raw          |
|       85.70 | Ross 129                    | Yang Hub                       | Raw          |
|       85.75 | Oshepra                     | Kozeyev Ring                   | Encoded      |
|       85.99 | Lorden                      | Roentgen Horizons              | Raw          |
|       86.14 | LTT 7548                    | Boltzmann Gateway              | Encoded      |
|       86.14 | Tyr                         | Glashow Dock                   | Manufactured |
|       86.27 | Aasgay                      | Solovyev Hub                   | Raw          |
|       86.29 | Dalevard                    | Shepherd City                  | Encoded      |
|       86.46 | Belanit                     | Pavlov Dock                    | Manufactured |
|       86.50 | 37 Ursae Majoris            | Oppenheimer Dock               | Raw          |
|       86.52 | Branglal                    | Skripochka Gateway             | Encoded      |
|       86.65 | BD+55 1142                  | Humphreys Terminal             | Encoded      |
|       86.71 | Ringardha                   | Lagrange Gateway               | Encoded      |
|       86.85 | Venux                       | Hughes-Fulford Dock            | Manufactured |
|       86.85 | G146-60                     | Lee Hub                        | Manufactured |
|       86.95 | Feige 22                    | Allen Gateway                  | Manufactured |
|       87.05 | CD-24 5005                  | Hoshi Port                     | Encoded      |
|       87.27 | LTT 7669                    | Virts Orbital                  | Manufactured |
|       87.28 | Cenufo                      | Crippen Terminal               | Raw          |
|       87.28 | Ngombivas                   | Linaweaver Port                | Manufactured |
|       87.36 | Varpet                      | Gaiman Station                 | Manufactured |
|       87.39 | Hmargk                      | McKay Dock                     | Raw          |
|       87.46 | NLTT 2969                   | MacLeod City                   | Encoded      |
|       87.47 | Oresqu                      | Libby Horizons                 | Manufactured |
|       87.56 | Beronii                     | Howard Dock                    | Raw          |
|       87.59 | Putamasin                   | Weil Orbital                   | Manufactured |
|       87.69 | LHS 3564                    | Froude Enterprise              | Encoded      |
|       87.73 | 16 Librae                   | Borisenko Station              | Raw          |
|       87.77 | Largarayu                   | Mills Enterprise               | Raw          |
|       87.79 | Gigaliep                    | Weston Dock                    | Manufactured |
|       87.82 | Ho Hsien                    | Dutton Station                 | Encoded      |
|       88.12 | LHS 3980                    | Gresley Enterprise             | Manufactured |
|       88.13 | BD+72 545                   | Rangarajan Enterprise          | Manufactured |
|       88.24 | Komovoy                     | Silves Dock                    | Manufactured |
|       88.35 | LTT 17102                   | Velazquez Ring                 | Encoded      |
|       88.39 | HR 5996                     | Bailey Orbital                 | Manufactured |
|       88.51 | Indrians                    | Silves Port                    | Encoded      |
|       88.52 | Lindol                      | Stein Terminal                 | Manufactured |
|       88.59 | Malloc                      | Julian Gateway                 | Manufactured |
|       88.66 | Juan                        | Lyell Hub                      | Manufactured |
|       88.76 | Songol                      | Glazkov Gateway                | Manufactured |
|       88.91 | Perkana                     | Dann Vision                    | Encoded      |
|       89.17 | Pinouphis                   | Watts Dock                     | Manufactured |
|       89.18 | Tibitibi                    | Torricelli Station             | Manufactured |
|       89.21 | LTT 982                     | Lagerkvist Port                | Manufactured |
|       89.29 | Zaragas                     | Jenner Hub                     | Encoded      |
|       89.45 | Tukualang                   | Davidson Terminal              | Raw          |
|       89.50 | Tamalhikas                  | Budarin Terminal               | Manufactured |
|       89.53 | Lenore                      | Gamow Hub                      | Raw          |
|       89.53 | 37 Lyncis                   | Rorschach Ring                 | Manufactured |
|       90.05 | Asgaa                       | Wheeler Horizons               | Encoded      |
|       90.38 | Cabru                       | Pook City                      | Manufactured |
|       90.76 | STF 2841                    | Hackworth Orbital              | Encoded      |
|       90.97 | BD-15 447                   | Good Enterprise                | Manufactured |
|       91.38 | Andel                       | Sharp Dock                     | Encoded      |
|       91.46 | Aranka                      | Walker Port                    | Manufactured |
|       91.54 | Guttun                      | Grover Terminal                | Encoded      |
|       91.71 | Yimakuapa                   | Frobisher Terminal             | Encoded      |
|       91.84 | Bagalis                     | Stephenson Port                | Manufactured |
|       91.86 | Chapsugaibo                 | Schlesinger City               | Raw          |
|       91.92 | LHS 1832                    | Coney Gateway                  | Encoded      |
|       92.03 | Quan Gurus                  | Russell Dock                   | Manufactured |
|       92.22 | Cerno                       | Kanwar Enterprise              | Encoded      |
|       92.24 | Liu Links                   | Stevin Dock                    | Raw          |
|       92.29 | V405 Hydrae                 | Tennyson d'Eyncourt Gateway    | Manufactured |
|       92.46 | Oluf                        | Ayerdhal Port                  | Raw          |
|       92.47 | Raksaka                     | Trevithick Port                | Manufactured |
|       92.96 | Acan                        | Phillifent Dock                | Manufactured |
|       92.97 | Nankul                      | Tombaugh Ring                  | Encoded      |
|       92.98 | Jupali                      | Blaha Ring                     | Manufactured |
|       92.99 | Uzumoxii                    | Ferguson Ring                  | Raw          |
|       93.01 | LP 672-4                    | Newton City                    | Manufactured |
|       93.02 | G 180-47                    | McCulley Hub                   | Raw          |
|       93.09 | Freng                       | Bear City                      | Manufactured |
|       93.12 | Djau                        | Oluwafemi Terminal             | Raw          |
|       93.15 | Lalande 45292               | Phillips City                  | Manufactured |
|       93.16 | IV Comae Berenices          | Litke Dock                     | Encoded      |
|       93.35 | Helgaedi                    | Joliot-Curie Enterprise        | Manufactured |
|       93.43 | Thiana                      | Gemar Horizons                 | Encoded      |
|       93.49 | Elska                       | Qurra Dock                     | Encoded      |
|       93.51 | Beta Caeli                  | Lloyd Port                     | Raw          |
|       93.53 | Sifjar                      | Herschel Landing               | Raw          |
|       93.63 | Nyanktona                   | MacKellar Dock                 | Raw          |
|       93.78 | Alino                       | Hadfield Orbital               | Raw          |
|       94.19 | Smethells 97                | Cousin Hub                     | Encoded      |
|       94.29 | Walmiri                     | Virtanen Hub                   | Manufactured |
|       94.40 | LTT 11655                   | Hodgkin Orbital                | Manufactured |
