System Name                | Body / Ring | Ring Type | Reserve  | Alexandrite | Benitoite | Monazite | Musgravite | Serendibite | Stack                                   
Pegasi Sector ON-S b4-8    | 2 A         | Rocky     | Pristine | 6           | 0         | 2        | 4          | 4           |                                                   
Mangpa                     | 7 A         | Rocky     | Pristine | 2           | 0         | 1        | 4          | 0           |                                                   
Cocoria                    | 4 A         | Rocky     | Pristine | 6           | 2         | 6        | 5          | 6           |                                                   
HIP 43477                  | 2 A         | Rocky     | Pristine | 2           | 1         | 2        | 4          | 5           |                                                   
Gliese 9142                | 12 B        | Rocky     | Pristine | 2           | 3         | 2        | 5          | 2           |                                                   
Alnath                     | BC 1 B      | Rocky     | Pristine | 3           | 2         | 4        | 5          | 4           |                                                   
Iota Microscopii           | 1 A         | Rocky     | Pristine | 11          | 7         | 2        | 5          | 2           |                                                   
Antliae Sector LX-U b2-4   | 2 A         | Rocky     | Pristine | 3           | 2         | 1        | 4          | 4           |                                                   
Lalande 3118               | ABC 4 A     | Rocky     | Pristine | 1           | 4         | 4        | 6          | 2           |                                                   
22 g Leonis                | 3 A         | Rocky     | Pristine | 2           | 4         | 6        | 6          | 2           |                                                   
Huachipaeri                | 4 A         | Rocky     | Pristine | 4           | 0         | 2        | 7          | 1           |                                                   
59 Eridani                 | B 9 A       | Rocky     | Pristine | 1           | 2         | 4        | 4          | 2           |                                                   
Omicron Capricorni B       | A 3 A       | Rocky     | Pristine | 1           | 1         | 2        | 5          | 2           |                                                   
Lyncis Sector FG-Y d90     | BC 4 A      | Rocky     | Pristine | 4           | 5         | 11       | 6          | 2           |                                                   
HIP 47490                  | C 1 A       | Rocky     | Pristine | 5           | 2         | 4        | 5          | 7           |                                                   
Nyikari                    | 1 A         | Rocky     | Pristine | 3           | 3         | 2        | 4          | 0           |                                                   
Tonessmeta                 | 5 A         | Rocky     | Pristine | 7           | 2         | 5        | 5          | 4           |                                                   
Nangura                    | 2 A         | Rocky     | Pristine | 4           | 5         | 4        | 3          | 4           |                                                   
BD+10 3250                 | 1 B         | Rocky     | Pristine | 4           | 2         | 2        | 3          | 6           |                                                   
LTT 6714                   | A 5 A       | Rocky     | Pristine | 1           | 1         | 2        | 3          | 4           |                                                   
Nu-1 Lupi                  | 8 A         | Rocky     | Pristine | 2           | 1         | 1        | 3          | 2           |                                                   
Tembala                    | 12 A        | Rocky     | Pristine | 2           | 3         | 6        | 3          | 1           |                                                   
Niman                      | 5 A         | Rocky     | Pristine | 2           | 2         | 2        | 3          | 2           |                                                   
Savaroju                   | AB 2 A      | Rocky     | Pristine | 2           | 2         | 3        | 3          | 3           |                                                   
Shontii                    | 2 A         | Rocky     | Pristine | 4           | 3         | 3        | 3          | 0           |                                                   
Zosinambure                | 1 A         | Rocky     | Pristine | 3           | 3         | 4        | 3          | 5           |                                                   
Alnath                     | BC 1 A      | Rocky     | Pristine | 1           | 0         | 0        | 3          | 1           |                                                   
Tsao Wang                  | 2 B         | Rocky     | Pristine | 1           | 3         | 6        | 3          | 2           |                                                   
12 Lambda Coronae Borealis | 2 A         | Rocky     | Pristine | 3           | 3         | 2        | 3          | 0           |                                                   
HIP 50070                  | 6 (ring)    | Rocky     | Pristine | —           | —         | —        | 3+         | —           | 3x Musgravite + 2x Benitoite + 2x Monazite overlap
